# Generated with seed: 465365
game_week,home_team,away_team,division
11,AGH1,THB1,Div 2
11,BRF1,GAL1,Div 2
11,BRO1,GBA1,Div 2
11,SWE1,EPF1,Div 2
11,WRI1,PUR1,Div 2
11,BAP2,NAV1,Div 3
11,BOR1,GWK1,Div 3
11,EAS1,WMO1,Div 3
11,GWA2,SPM2,Div 3
11,HIE1,RAN1,Div 3
11,CTI1,STO2,Div 4
11,CWR1,BRX1,Div 4
11,GTO2,OCH2,Div 4
11,HRO2,WIL1,Div 4
11,RAY2,CSK1,Div 4
11,BEA2,LBA2,Div 5
11,GAL2,AGH2,Div 5
11,RET2,SWB2,Div 5
11,SJB1,HOH1,Div 5
11,STA1,RAF1,Div 5
11,EPF2,SWE2,Div 6
11,ILC2,DAN1,Div 6
11,RAY3,SPM3,Div 6
11,SOS2,BAP3,Div 6
11,THB2,TIL2,Div 6
11,BAP4,IGF2,Div 7
11,BEN1,BOR2,Div 7
11,GBA2,EAS2,Div 7
11,ILC3,EHG2,Div 7
11,TER2,BRO2,Div 7
11,CHI1,SJB2,Div 8
11,HOH2,SLO2,Div 8
11,OCH3,WRI2,Div 8
11,SWB3,AGH3,Div 8
11,WMO2,BRF2,Div 8
11,BAP5,GAL3,Div 9
11,CSK2,BRE1,Div 9
11,HUT1,UPM1,Div 9
11,NAV2,HAP2,Div 9
11,SOS3,OCH4,Div 9
11,IGF1,BAP1,Premier
11,LBA1,RET1,Premier
11,SLO1,GWA1,Premier
11,SPM1,HRO1,Premier
11,TIL1,TER1,Premier
12,BEA1,RAY1,Div 1
12,GTO1,EHG1,Div 1
12,ILC1,HAP1,Div 1
12,SOS1,SWB1,Div 1
12,STO1,OCH1,Div 1
12,GTO3,UPM2,Div 10
12,HOH3,WIL2,Div 10
12,RAN2,RAF2,Div 10
12,RAY4,ILC4,Div 10
12,SOS4,BFL1,Div 10
12,BRE2,OCH5,Div 11
12,BRX2,OAK1,Div 11
12,EAS3,SLO3,Div 11
12,HUT2,GAL4,Div 11
12,RAY5,GWA3,Div 11
12,BRF1,THB1,Div 2
12,BRO1,WRI1,Div 2
12,GAL1,EPF1,Div 2
12,GBA1,SWE1,Div 2
12,PUR1,AGH1,Div 2
12,EAS1,HIE1,Div 3
12,GWK1,BAP2,Div 3
12,NAV1,GWA2,Div 3
12,SPM2,BOR1,Div 3
12,WMO1,RAN1,Div 3
12,CSK1,STO2,Div 4
12,HRO2,GTO2,Div 4
12,OCH2,BRX1,Div 4
12,RAY2,CWR1,Div 4
12,WIL1,CTI1,Div 4
12,AGH2,LBA2,Div 5
12,HOH1,STA1,Div 5
12,RAF1,RET2,Div 5
12,SJB1,GAL2,Div 5
12,SWB2,BEA2,Div 5
12,DAN1,BAP3,Div 6
12,EPF2,RAY3,Div 6
12,SWE2,ILC2,Div 6
12,THB2,SPM3,Div 6
12,TIL2,SOS2,Div 6
12,BAP4,BRO2,Div 7
12,BOR2,TER2,Div 7
12,EHG2,BEN1,Div 7
12,IGF2,EAS2,Div 7
12,ILC3,GBA2,Div 7
12,AGH3,WMO2,Div 8
12,CHI1,HOH2,Div 8
12,SLO2,OCH3,Div 8
12,SWB3,SJB2,Div 8
12,WRI2,BRF2,Div 8
12,BAP5,SOS3,Div 9
12,GAL3,NAV2,Div 9
12,HAP2,HUT1,Div 9
12,OCH4,BRE1,Div 9
12,UPM1,CSK2,Div 9
12,BAP1,SPM1,Premier
12,GWA1,TIL1,Premier
12,LBA1,IGF1,Premier
12,RET1,HRO1,Premier
12,TER1,SLO1,Premier
13,HAP1,STO1,Div 1
13,ILC1,EHG1,Div 1
13,RAY1,OCH1,Div 1
13,SOS1,BEA1,Div 1
13,SWB1,GTO1,Div 1
13,BFL1,HOH3,Div 10
13,ILC4,GTO3,Div 10
13,RAF2,SOS4,Div 10
13,UPM2,RAY4,Div 10
13,WIL2,RAN2,Div 10
13,EAS3,BRE2,Div 11
13,GAL4,RAY5,Div 11
13,GWA3,BRX2,Div 11
13,OCH5,OAK1,Div 11
13,SLO3,HUT2,Div 11
13,AGH1,BRO1,Div 2
13,EPF1,BRF1,Div 2
13,SWE1,GAL1,Div 2
13,THB1,PUR1,Div 2
13,WRI1,GBA1,Div 2
13,BAP2,WMO1,Div 3
13,BOR1,EAS1,Div 3
13,GWA2,GWK1,Div 3
13,HIE1,NAV1,Div 3
13,RAN1,SPM2,Div 3
13,BRX1,HRO2,Div 4
13,CTI1,RAY2,Div 4
13,GTO2,CSK1,Div 4
13,OCH2,WIL1,Div 4
13,STO2,CWR1,Div 4
13,BEA2,SJB1,Div 5
13,GAL2,RAF1,Div 5
13,HOH1,AGH2,Div 5
13,LBA2,SWB2,Div 5
13,STA1,RET2,Div 5
13,BAP3,EPF2,Div 6
13,DAN1,THB2,Div 6
13,RAY3,SOS2,Div 6
13,SPM3,ILC2,Div 6
13,TIL2,SWE2,Div 6
13,BEN1,BAP4,Div 7
13,BRO2,ILC3,Div 7
13,EAS2,BOR2,Div 7
13,EHG2,IGF2,Div 7
13,GBA2,TER2,Div 7
13,BRF2,HOH2,Div 8
13,OCH3,SWB3,Div 8
13,SJB2,AGH3,Div 8
13,SLO2,WRI2,Div 8
13,WMO2,CHI1,Div 8
13,BRE1,UPM1,Div 9
13,CSK2,GAL3,Div 9
13,HUT1,OCH4,Div 9
13,NAV2,BAP5,Div 9
13,SOS3,HAP2,Div 9
13,HRO1,BAP1,Premier
13,IGF1,TIL1,Premier
13,RET1,SLO1,Premier
13,SPM1,GWA1,Premier
13,TER1,LBA1,Premier
14,EHG1,SOS1,Div 1
14,GTO1,BEA1,Div 1
14,HAP1,RAY1,Div 1
14,OCH1,ILC1,Div 1
14,STO1,SWB1,Div 1
14,HOH3,RAY4,Div 10
14,RAF2,ILC4,Div 10
14,RAN2,BFL1,Div 10
14,SOS4,UPM2,Div 10
14,WIL2,GTO3,Div 10
14,BRE2,BRX2,Div 11
14,HUT2,EAS3,Div 11
14,OAK1,GWA3,Div 11
14,OCH5,GAL4,Div 11
14,RAY5,SLO3,Div 11
14,AGH1,GBA1,Div 2
14,BRF1,BRO1,Div 2
14,GAL1,WRI1,Div 2
14,PUR1,SWE1,Div 2
14,THB1,EPF1,Div 2
14,BOR1,GWA2,Div 3
14,EAS1,NAV1,Div 3
14,GWK1,RAN1,Div 3
14,SPM2,BAP2,Div 3
14,WMO1,HIE1,Div 3
14,BRX1,CTI1,Div 4
14,CSK1,WIL1,Div 4
14,CWR1,OCH2,Div 4
14,HRO2,STO2,Div 4
14,RAY2,GTO2,Div 4
14,BEA2,RAF1,Div 5
14,LBA2,GAL2,Div 5
14,RET2,AGH2,Div 5
14,SJB1,STA1,Div 5
14,SWB2,HOH1,Div 5
14,EPF2,DAN1,Div 6
14,ILC2,TIL2,Div 6
14,RAY3,BAP3,Div 6
14,SOS2,SPM3,Div 6
14,SWE2,THB2,Div 6
14,BAP4,BOR2,Div 7
14,BRO2,EHG2,Div 7
14,GBA2,BEN1,Div 7
14,ILC3,EAS2,Div 7
14,TER2,IGF2,Div 7
14,AGH3,OCH3,Div 8
